"","ÀÌ¸§","ÆÀ","Á¤·Ä","ÃâÀå","¿ÏÅõ","¿ÏºÀ","¼±¹ß","½Â","ÆÐ","¼¼","È¦µå","ÀÌ´×","½ÇÁ¡","ÀÚÃ¥","Å¸ÀÚ","¾ÈÅ¸","X2Å¸","X3Å¸","È¨·±","º¼³Ý","°í4","»ç±¸","»ïÁø","º¸Å©","ÆøÅõ","ºñÀ²","ºñÀ².1","ºñÀ².2","ºñÀ².3","ºñÀ².4","WAR","WPA"
"391","ÀÌÀçÈñ","21»ï","0.16","5","0","0","5","0","1","0","0","21.2","13","13","95","24","3","1","2","10","0","0","17","0","2","5.40","4.35","1.57","83.6","103.7","0.16","-0.06"
"401","½ÉÃ¢¹Î","21»ï","0.15","59","0","0","0","3","2","0","16","51.1","32","29","238","47","12","0","8","32","0","6","58","1","2","5.08","5.32","1.54","88.8","85.3","0.15","-0.43"
"411","ÀÌ½ÂÇö","21»ï","0.14","41","0","0","0","1","4","0","7","39.1","24","23","174","35","8","0","3","23","0","3","46","0","5","5.26","3.97","1.48","85.8","113.2","0.14","-0.32"
"421","¹®°æÂù","21N","0.13","35","0","0","0","0","1","0","4","31.0","20","17","142","25","6","0","6","20","1","0","25","0","1","4.94","6.07","1.45","92.0","74.8","0.13","-0.19"
"431","ÀÌ»ó¹Î","21»ï","0.13","30","0","0","0","1","1","0","3","24.2","15","13","110","28","6","1","2","14","0","0","14","0","1","4.74","4.95","1.70","95.2","90.8","0.13","0.31"
"441","±èÁø¿í","21·Ô","0.13","39","0","0","5","4","6","0","8","45.2","32","32","227","42","9","0","3","49","3","3","45","0","15","6.31","5.44","1.99","72.1","82.0","0.13","-1.26"
"451","±èÅÂ°æ","21N","0.13","7","0","0","3","0","0","0","0","15.0","8","8","63","11","4","0","1","9","0","1","10","0","1","4.80","4.87","1.33","94.6","92.6","0.13","-0.05"
"461","¹Ú°Ç¿ì","21K","0.13","3","0","0","0","0","0","0","0","3.0","0","0","11","2","0","0","0","1","0","1","3","0","0","0.00","3.33","1.00","","135.1","0.13","0.01"
"471","±è´ë¿ì","21·Ô","0.12","39","0","0","0","2","2","0","9","35.1","22","20","160","32","7","0","4","24","0","4","31","0","5","5.09","5.43","1.59","89.2","82.3","0.12","-0.71"
"501","¼Û¸í±â","21N","0.11","24","0","0","24","8","9","0","0","123.1","83","81","574","147","39","2","12","58","1","9","102","1","2","5.91","4.55","1.66","76.8","99.3","0.11","-0.74"
"511","±èÁ¾¼ö","21ÇÑ","0.11","49","0","0","0","1","1","0","6","46.2","29","25","208","34","10","0","7","32","0","3","38","0","2","4.82","5.90","1.41","90.8","75.5","0.11","-0.20"
"521","½ÅÀç¿õ","21S","0.11","8","0","0","0","0","0","0","0","8.1","4","4","37","6","1","0","0","5","0","0","9","1","0","4.32","2.97","1.32","103.9","151.0","0.11","0.03"
"531","¹ÚÁÖ¼º","21Å°","0.11","13","0","0","0","0","1","0","0","18.1","11","10","89","24","1","0","1","9","0","2","12","0","1","4.91","4.53","1.80","90.3","96.5","0.11","-0.51"
"541","ÃÖ½Â¿ë","21µÎ","0.11","15","0","0","2","0","0","0","2","18.1","10","8","83","20","3","1","3","10","0","1","16","0","0","3.93","5.51","1.64","109.8","77.2","0.11","-0.27"
"551","±èµµ±Ô","21·Ô","0.10","43","0","0","0","2","1","0","5","42.0","28","27","182","41","5","1","3","22","1","0","39","0","2","5.79","3.90","1.50","78.6","114.2","0.10","0.51"
"561","ÇÑ½ÂÇõ","21K","0.09","8","0","0","5","0","3","0","0","23.2","15","12","103","25","5","1","0","10","0","2","17","0","2","4.56","3.42","1.48","97.4","131.4","0.09","-0.33"
"571","Áö¸í¼º","21K","0.09","3","0","0","0","1","0","0","0","4.0","1","0","16","1","0","0","0","1","0","1","4","0","0","0.00","2.83","0.50","","156.7","0.09","0.02"
"581","ÀüÀ¯¼ö","21K","0.09","11","0","0","0","1","0","0","0","10.2","6","4","46","9","1","0","1","6","0","0","9","0","0","3.38","4.55","1.41","133.1","97.6","0.09","-0.07"
"591","¹Ú¼±¿ì","21·Ô","0.08","1","0","0","0","0","0","0","0","2.0","0","0","9","1","0","0","0","0","0","2","1","0","0","0.00","5.33","0.50","","84.3","0.08","0.00"
"621","³ë½ÃÈÆ","21N","0.08","5","0","0","0","0","0","0","0","4.2","2","2","22","4","1","0","1","4","0","0","2","0","0","3.86","7.83","1.71","117.7","57.9","0.08","-0.03"
"631","¹è¼º±Ù","21·Ô","0.08","2","0","0","0","0","0","0","0","2.0","0","0","9","2","0","0","0","1","0","0","1","0","0","0.00","3.83","1.50","","116.2","0.08","0.00"
"641","±èÁÖ¿Â","21S","0.07","2","0","0","0","0","0","0","0","2.0","0","0","10","1","1","0","0","2","0","1","3","0","0","0.00","4.83","1.50","","94.1","0.07","0.00"
"651","ÀÌÀçÀÍ","21»ï","0.07","11","0","0","0","2","0","0","0","10.0","6","5","51","11","0","0","1","12","1","0","5","0","0","4.50","6.93","2.30","100.3","65.1","0.07","-0.22"
"661","Á¤µ¿À±","21S","0.07","1","0","0","0","0","0","0","0","2.0","0","0","7","1","0","0","0","1","0","0","0","0","0","0.00","4.83","1.00","","92.2","0.07","0.00"
"671","Á¤ÁøÈ£","21ÇÑ","0.06","3","0","0","0","0","0","0","0","1.2","0","0","6","1","0","0","0","1","0","0","0","0","0","0.00","5.13","1.20","","87.0","0.06","0.00"
"681","ÀÌ¿ì¼®","21N","0.06","10","0","0","0","1","0","0","0","9.2","6","6","49","13","4","0","1","7","0","3","8","0","0","5.59","6.13","2.07","81.3","73.5","0.06","0.06"
"691","¹Ú½ÂÁÖ","21Å°","0.06","3","0","0","0","0","0","0","0","4.1","2","2","18","3","1","0","0","3","0","0","1","0","0","4.15","4.95","1.39","106.7","89.4","0.06","-0.00"
