등번호,이름,팀명,포지션,생년월일,학력,키_cm,몸무게_kg
,,15.0,정대선,상무,서흥초-동산중-세광고-롯데-상무,,
,,65.0,정민규,한화,광일초(부산서구리틀)-경남중-부산고-한화-상무,,
,,116.0,정안석,한화,염동초(강서구리틀)-서울신월중-휘문고,,
,,54.0,정윤혁,고양,대구고,,
,,20.0,정은원,상무,상인천초-상인천중-인천고-한화-상무,,
,,3.0,정준재,SSG,상인천초-동인천중-강릉고-동국대(얼리 드래프트),,
,,64.0,정해원,KIA,제주신광초-덕수중-휘문고,,
,,126.0,정현창,NC,김해부곡초-부산토현중-부산공고,,
,,9.0,정훈,롯데,양덕초-마산동중-용마고,,
,,16.0,조민성,상무,서울학동초-휘문중-휘문고-삼성-상무,,
,,4.0,조한민,한화,군산중앙초-군산중-대전고-한화-상무,,
,,128.0,조현민,NC,정수초(성북구리틀)-서울이수중-충암고,,
,,129.0,조효원,NC,공주중동초-온양중-공주고-원광대,,
,,7.0,주현상,한화,청주우암초-청주중-청주고-동아대,,
,,35.0,차승준,삼성,무학초-창원신월중-용마고,,
,,22.0,채은성,한화,순천북초-순천이수중-효천고-LG,,
,,14.0,천성호,KT,광주화정초-충장중-진흥고-단국대-KT-상무,,
,,116.0,천재환,고양,대전신흥초-공주중-화순고-고려대,,
,,105.0,최민규,롯데,광주수창초-충장중-광주제일고-부산과학기술대,,
,,130.0,최보성,NC,진해장복초(진해리틀)-외포중-개성고,,
,,105.0,최승민,고양,학동초-대치중-신일고,,
,,1.0,최원준,KIA,연현초-서울경원중-서울고,,
,,94.0,최윤석,SSG,진북초(전주시비전리틀)-전라중-전주고,,
,,14.0,최정,SSG,대일초-평촌중-유신고-SK,,
,,23.0,최정용,KIA,서원초-세광중-세광고-삼성-SK-상무,,
,,14.0,최정원,NC,서원초-청주중-청주고-NC-상무,,
,,53.0,최주환,키움,학강초-광주동성중-광주동성고-두산-상무-두산-SK-SSG,,
,,7.0,최준우,SSG,방배초-대치중-장충고-SK-상무,,
,,14.0,최항,롯데,대일초-매송중-유신고-SK-SSG,,
,,16.0,하주석,한화,강남초-덕수중-신일고-한화-상무,,
,,6.0,한경빈,한화,인천서림초-상인천중-동산고-인천재능대,,
,,114.0,한다현,두산,백문초-구리인창중-라온고,,
,,25.0,한동희,상무,부산대연초-경남중-경남고-롯데-상무,,
,,35.0,한재환,NC,기장대청초(기장리틀)-대신중-개성고,,
,,60.0,한태양,롯데,역삼초-언북중-덕수고-롯데-상무,,
,,13.0,허경민,KT,송정동초-충장중-광주제일고-두산-경찰-두산,,
,,67.0,허진,SSG,광주수창초-충장중-광주동성고-고려대,,
,,8.0,현원회,SSG,가동초-경상중-대구고-SK,,
,,97.0,홍대인,SSG,서원초-세광중-세광고-사이버한국외대(얼리 드래프트),,
,,5.0,홍재용,고양,강릉고-단국대,,
,,6.0,홍종표,KIA,동막초-영남중-강릉고-KIA-상무,,
,,52.0,황대인,KIA,군산신풍초-자양중-경기고-KIA-상무,,
,,95.0,황영묵,한화,수진초-성일중-충훈고,,
,,10.0,황재균,KT,사당초-서울이수중-경기고-현대-히어로즈-롯데-샌프란시스코,,
,,47.0,강민호,삼성,제주신광초-포철중-포철공고-(국제디지털대)-롯데,,
,,50.0,강백호,KT,부천북초-서울이수중-서울고,,
,,39.0,강승구,롯데,동막초-상인천중-제물포고-강릉영동대,,
,,15.0,강진성,고양,가동초-잠신중-경기고-NC-경찰,,
,,55.0,강현우,KT,원종초(부천시리틀)-부천중-유신고,,
,,20.0,권다결,KIA,중대초-잠신중-신일고,,
,,24.0,김강현,롯데,고명초-청원중-청원고-(세계사이버대),,
,,12.0,김건희,키움,대전신흥초-온양중-원주고,,
,,61.0,김규민,SSG,동수원초(수원영통구리틀)-매향중-공주고-여주대,,
,,45.0,김기연,두산,광주수창초-진흥중-진흥고-LG,,
,,24.0,김도환,삼성,언북초(의정부리틀)-영동중-신일고-삼성-상무,,
,,47.0,김동헌,키움,영문초(영등포구리틀)-충암중-충암고,,
,,103.0,김동현,NC,부산대연초-사직중-부산공고-성균관대,,
,,39.0,김민,고양,중앙고-고려대-넥센,,
,,97.0,김민석,KT,창영초-동인천중-제물포고,,
,,12.0,김민수,삼성,대구옥산초-경복중-대구상원고-영남대-한화-상무,,
,,24.0,김민식,SSG,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA,,
,,55.0,김범석,LG,김해삼성초-경남중-경남고,,
,,42.0,김선우,상무,상인천초-상인천중-강릉고-KIA-상무,,
,,44.0,김성우,LG,성동초-건대부중-배재고,,
,,116.0,김성재,두산,온곡초(남양주야놀유소년)-청원중-선린인터넷고,,
,,114.0,김성진,LG,수원신곡초-매향중-야탑고,,
,,26.0,김시앙,상무,광주대성초-광주동성중-광주동성고-키움-상무,,
,,2.0,김재성,삼성,신광초-성남중-덕수고-LG-경찰-LG,,
,,32.0,김재현,키움,진북초-전라중-대전고-히어로즈-상무,,
,,124.0,김재형,삼성,봉천초-선린중-덕수고,,
,,32.0,김재환,두산,영랑초-상인천중-인천고-두산-상무,,
,,105.0,김정호,NC,대구옥산초-경복중-포항제철고-성균관대,,
,,44.0,김준태,KT,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데,,
,,65.0,김지성,고양,창영초-재능중-율곡고,,
,,42.0,김태군,KIA,양정초-대동중-부산고-LG-NC-경찰-NC-삼성,,
,,109.0,김태호,NC,신도초(해운대리틀)-센텀중-부산정보고-동아대,,
,,25.0,김형준,NC,가동초-세광중-세광고-NC-상무,,
,,27.0,나균안,롯데,무학초-창원신월중-용마고,,
,,11.0,류현준,두산,문정초(송파구리틀)-배재중-장충고,,
,,109.0,박건우,롯데,성동초-건대부중-장충고-고려대,,
,,27.0,박동원,LG,양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA,,
,,26.0,박민준,두산,아라초-마산동중-용마고-동강대,,
,,106.0,박민호,LG,본리초-경상중-대구상원고-경남대,,
,,42.0,박상언,한화,무원초-영남중-유신고-한화-상무,,
,,56.0,박성빈,키움,한밭초(계룡시리틀)-충남중-대전고,,
,,22.0,박성재,상무,가고파초(창원리틀)-마산동중-용마고-NC-상무,,
,,15.0,박성재,두산,가산초-개성중-부산고-두산-상무,,
,,10.0,박세혁,NC,수유초-신일중-신일고-고려대-두산-상무-두산,,
,,63.0,박재엽,롯데,부산대연초-개성중-부산고,,
,,0.0,박주찬,NC,동막초-경포중-강릉고-동아대,,
,,75.0,박준형,고양,화순초-무등중-광주제일고,,
,,111.0,박진우,삼성,글꽃초(대전중구리틀)-현도중-청주고,,
,,62.0,백두산,롯데,부산수영초-대천중-개성고-동의대,,
,,35.0,서동욱,롯데,순천남산초-순천이수중-순천효천고BC-홍익대,,
,,32.0,손명기,고양,광주제일고-고려대,,
,,6.0,손성빈,롯데,희망대초-경기신흥중-장안고-롯데-상무,,
,,42.0,신명승,KIA,광주수창초-진흥중-진흥고,,
,,117.0,신민우,NC,김해우암초(김해리틀)-내동중-마산고,,
,,25.0,신범수,SSG,광주대성초-광주동성중-광주동성고-KIA,,
,,,신용석,NC,양덕초-마산동중-마산고-NC-상무,,
,,1.0,안중열,NC,가야초-개성중-부산고-(영남사이버대)-KT-롯데-상무-롯데,,
,,39.0,안진,한화,인헌초-영남중-경기상고,,
,,58.0,안현민,KT,임호초(김해리틀)-개성중-마산고,,
,,25.0,양의지,두산,송정동초-무등중-진흥고-두산-경찰-두산-NC,,
,,123.0,엄장윤,롯데,사직초(부산동래구리틀)-사직중-부경고,,
,,27.0,유강남,롯데,청원초-휘문중-서울고-LG-상무-LG,,
,,69.0,유세영,고양,미국 독립구단,,
,,11.0,윤준호,상무,부산안락초(해운대리틀)-센텀중-경남고-동의대-두산-상무,,
,,23.0,이병헌,삼성,인천숭의초-인천신흥중-제물포고,,
,,44.0,이상준,KIA,서울도곡초-대치중-경기고,,
,,96.0,이승현,KT,비전초(평택리틀)-개군중-북일고,,
,,32.0,이율예,SSG,중리초(함안리틀)-원동중-강릉고,,
,,20.0,이재원,한화,인천숭의초-상인천중-인천고-SK-상무-SK-SSG,,
,,103.0,이정환,KT,수원신곡초-매향중-안산공고,,
,,48.0,이정훈,롯데,교문초-배재중-휘문고-경희대-KIA-상무-KIA,,
,,26.0,이주헌,LG,서울이수초-성남중-성남고,,
,,59.0,이지영,SSG,서화초-인천신흥중-제물포고-경성대-삼성-상무-삼성-키움,,
,,0.0,이한림,LG,해남동초(해남군리틀)-화순중-전주고,,
,,44.0,장규빈,두산,갈산초-서울신월중-경기고,,
,,32.0,장규현,한화,인성초(미추홀구리틀)-동인천중-인천고-한화-상무,,
,,22.0,장성우,KT,감천초-경남중-경남고-롯데-경찰-롯데,,
